"Index","Seleccione su intervalo de edad","Por favor indique su provincia de nacimiento","¿Cuáles cree que son los posibles beneficios que los estudiantes podrían experimentar al optar por continuar sus estudios en otra provincia?","¿Podría mencionar los posibles obstáculos que los estudiantes podrían enfrentar al mudarse a otra región para seguir estudiando?","¿Tiene la intención de retornar a su provincia una vez que haya concluido sus estudios? Si es de La Habana, puede ignorar esta pregunta.","Fundamentos de su selección","¿Tiene la intención de permanecer en Cuba al concluir sus estudios?","¿podría explicar porqué?","Submitter","Submission Date","Submission ID"
1,"19-22","Villa Clara","Experiencia, Mejor Docencia","La falta de comunicación con la familia y el sustento","",,,,,"30/3/2024, 21:41:08","2b2d89fb4573a9"
2,"19-22","Villa Clara","Más oportunidades de empleo y de ganacias","Dificultades económicas ","No",,,,,"30/3/2024, 21:42:06","bb5f5e644573a9"
3,"22+","Matanzas","Mayor aprendizaje  Un mejor futuro Más opciones de trabajo","Transporte  Alimentación  Economía ","No",,,,,"30/3/2024, 21:47:10","caa1da74573a9"
4,"19-22","Villa Clara","Tienen varios beneficios ya que pueden desempeñarse, crear nuevos valores, conocer nuevas personas y ver las cosas desde otra perspectiva. ","Un posible obstáculo pero no muy grave es que van ha estar lejos de la familia y eso aveces es un poco difícil.","No",,,,,"30/3/2024, 21:49:15","43d676874573a9"
5,"19-22","Matanzas","Si es en su provincia natal hay muchas ventajas dadas por el hecho de estar cerca de sus amigos y familiares ","Estar en un lugar con el que no estás familiarizado trae muchas desventajas como estar lejos de tu familia y amigos, es un ambiente que no conoces, y tienes que adaptarte a este nuevo lugar","Yes","Me gusta mi provincia, es mucho más tranquila que La Habana, y tengo a la mayor parte de mi familia y amigos allá :)",,,,"30/3/2024, 21:50:00","83e27c3a4573a9"
6,"19-22","Mayabeque","Lograr un título universitario ya que no hay universidades en sus provincias","El alejarse de sus familiares  El transporte  El precio de las cosas Lejanía de la beca q dificulta el estudio","Yes","Volver con mi familia",,,,"30/3/2024, 21:50:19","d16b0fde4573a9"
7,"19-22","Matanzas","Más posibilidades de empleo","Estar lejos de la familia  dificultades económicas debido a que la mayoría de los estudiantes son financieramente dependientes  Incapacidad de adaptación","No",,,,,"30/3/2024, 22:00:22","848538b9777a4b"
8,"19-22","Pinar del Río","Serían los mismos beneficios que los estudiantes podrían experimentar al optar por continuar sus estudios en su misma provincia.","Exactamente las mismas carencias económicas que se sufren en todo el país, pero muchísimo más agravada, debido a las diferencias de inflación por regiones y poco apoyo económico-social en la nueva región.","Yes","Mi familia. En este país hay una dictadura, yo solo quiero escapar.",,,,"30/3/2024, 22:11:55","c8024618777a4b"
9,"18-22","La Habana","Adquiririan mayor disciplina y responsabilidad al encontrarse sin la tutela de sus padres ","Es un lugar totalmente nuevo,  por lo cual la adaptacion podria ser complicada para los mismos ","",,"No","Quisiera explorar otros campos laborales de mi carrera que no se han desarrollado mucho en Cuba",,"30/3/2024, 22:18:12","5af672d9777a4b"
10,"18-22","Matanzas","Conocer nuevas ciudades, aspirar a mejores posibilidades laborales, hacer nuevas amistades, ampliar los horizontes culturales y sociales, ganar mayor independencia. ","Enfrentarse solo a nuevos desafíos lejos de las comodidades del hogar y del calor de la familia, acostumbrarse a la vida en colectivo dentro de una beca, a nuevos horarios y nuevos estilos de vida ","Yes","Porque en mi provincia existe un excelente destino turístico(Varadero) en donde puedo desarrollar muy bien mi carrera ",,,,"30/3/2024, 22:22:44","4aa9be5e777a4b"
