,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
  Pinar del Río,86,81,64,50,54,36,39,29,27,52,46,44,51,54,27,13,21
    Hombres,37,42,29,29,27,17,21,12,13,29,27,24,28,29,11,4,11
    Mujeres,49,39,35,21,27,19,18,17,14,23,19,20,23,25,16,9,10
  Artemisa,,,,,,174,177,185,137,202,274,212,216,238,218,114,191
    Hombres,,,,,,82,95,90,71,136,145,110,115,120,113,67,103
    Mujeres,,,,,,92,82,95,66,66,129,102,101,118,105,47,88
  La Habana,381,399,398,"1,616",379,388,381,416,244,529,488,477,449,474,330,212,350
    Hombres,197,209,201,922,208,205,206,219,133,305,264,248,253,257,170,117,191
    Mujeres,184,190,197,694,171,183,175,197,111,224,224,229,196,217,160,95,159
  Mayabeque,,,,,,210,231,220,210,277,247,274,261,283,187,106,186
    Hombres,,,,,,117,134,130,119,156,134,153,144,146,78,60,105
    Mujeres,,,,,,93,97,90,91,121,113,121,117,137,109,46,81
  Ciudad de La Habana,436,373,370,"1,645",323,,,,,,,,,,,,
    Hombres,224,209,201,792,182,,,,,,,,,,,,
    Mujeres,212,164,169,853,141,,,,,,,,,,,,
  Matanzas,285,297,250,751,216,235,271,198,184,236,283,217,284,308,193,103,222
    Hombres,156,164,149,397,115,131,161,102,97,130,139,122,153,161,97,54,115
    Mujeres,129,133,101,354,101,104,110,96,87,106,144,95,131,147,96,49,107
  Villa Clara,81,80,65,134,81,61,54,50,41,89,67,61,65,58,71,36,38
    Hombres,40,45,41,75,37,25,22,21,19,43,33,34,27,34,37,15,20
    Mujeres,41,35,24,59,44,36,32,29,22,46,34,27,38,24,34,21,18
  Cienfuegos,96,87,48,161,58,65,78,53,40,60,61,31,65,49,29,18,45
    Hombres,43,53,26,87,30,33,46,33,19,29,34,19,33,28,17,8,22
    Mujeres,53,34,22,74,28,32,32,20,21,31,27,12,32,21,12,10,23
  Sancti Spíritus,96,92,88,164,75,79,65,70,46,73,77,87,75,67,78,20,86
    Hombres,50,49,45,88,39,41,35,32,19,43,42,45,33,37,47,12,38
    Mujeres,46,43,43,76,36,38,30,38,27,30,35,42,42,30,31,8,48
  Ciego de Ávila,321,338,282,439,234,249,269,218,120,199,214,174,221,187,102,73,179
    Hombres,172,170,147,220,125,137,144,107,60,108,107,95,103,98,56,42,85
    Mujeres,149,168,135,219,109,112,125,111,60,91,107,79,118,89,46,31,94
  Camagüey,593,483,481,442,369,420,379,314,211,319,287,260,255,264,204,108,189
    Hombres,315,269,245,211,194,233,192,157,113,150,146,138,126,144,106,59,90
    Mujeres,278,214,236,231,175,187,187,157,98,169,141,122,129,120,98,49,99
  Las Tunas,350,286,364,339,274,231,269,230,165,215,235,211,223,207,125,80,170
    Hombres,173,148,186,178,134,126,135,99,83,105,129,107,105,97,69,45,78
    Mujeres,177,138,178,161,140,105,134,131,82,110,106,104,118,110,56,35,92
  Holguín,543,615,576,446,439,459,440,376,249,430,398,373,365,381,349,178,302
    Hombres,260,298,309,205,233,212,227,168,127,242,195,191,186,192,182,87,147
    Mujeres,283,317,267,241,206,247,213,208,122,188,203,182,179,189,167,91,155
  Santiago de Cuba,984,869,956,561,665,693,594,360,345,542,541,467,475,466,341,198,365
    Hombres,481,418,483,281,351,381,302,181,167,248,275,216,218,220,143,90,160
    Mujeres,503,451,473,280,314,312,292,179,178,294,266,251,257,246,198,108,205
  Guantánamo,173,187,189,96,144,186,171,136,89,172,144,136,128,95,97,39,76
    Hombres,79,103,92,50,75,73,88,65,35,89,75,75,59,55,49,22,37
    Mujeres,94,84,97,46,69,113,83,71,54,83,69,61,69,40,48,17,39
  Isla de la Juventud,89,90,131,108,70,61,87,85,34,51,39,60,53,62,34,18,49
    Hombres,44,52,72,52,38,36,49,46,17,33,20,33,31,33,21,8,30
    Mujeres,45,38,59,56,32,25,38,39,17,18,19,27,22,29,13,,19
