,CONCEPTO,2017,2018,2019,2020,2021,2022
0,Total,584 239,222 673,287 808,155 662,111 139,159 587
1,Enero,20 022,9 223,18 837,14 835,10 771,13 210
2,Febrero,16 229,20 010,37 053,17 349,9 629,13 537
3,Marzo,25 377,14 562,59 905,13 285,11 605,14 991
4,Abril,26 684,20 617,13 862,6 996,7 224,14 715
5,Mayo,19 958,19 340,17 506,7 307,9 029,14 030
6,Junio,73 080,16 577,21 576,9 514,7 274,10 680
7,Julio,86 021,21 549,26 618,15 735,9 706,14 359
8,Agosto,100 653,27 149,26 618,15 902,9 943,15 201
9,Septiembre,99 490,20 284,13 678,13 425,7 532,10 555
10,Octubre,20 829,14 767,14 126,16 314,7 230,12 074
11,Noviembre,22 593,19 033,19 772,14 172,7 853,13 696
12,Diciembre,73 303,19 562,18 257,10 828,13 343,12 539
