,CONCEPTO 2017,2018,2019,2020,2021,Unnamed: 0,2022
0,Visitantes 110 134,222 673,174 648,27 962,1 042,,6 852
1,De ello: Principales  emisores 98 558,91 392,79 287,24 970,645,,3 432
2,Canadá 77 550,76 110,64 846,21 132,89,,290
3,Alemania 10 540,7 367,6 515,1 523,86,,1 037
4,Italia 2 736,1 606,1 168,469,235,,625
5,Francia 2 114,1 430,1 728,606,71,,228
6,Inglaterra 324,927,1 162,344,18,,-
7,Estados Unidos 4 490,3 468,3 482,787,126,,1 225
8,Suiza 804,484,386,109,20,,27
9,13.4 - Pernoctaciones de turistas internacionales en el conjunto de los medios de alojamiento,,,,,,
10,por tipos de establecimientos,,,,,,
11,,,,,,,Unidad
12,TIPO DE ESTABLECIMIENTO 2017,2018,2019,2020,2021,,2022
13,Total 62 928,65 405,53 073,15 907,771,,13 786
14,3 Estrellas 43 273,42 694,37 537,11 645,-,,10 399
15,2 Estrellas 19 655,22 711,15 536,4 262,771,,3 387
16,13.5 - Pernoctaciones de turistas nacionales en el conjunto de los medios de alojamiento,,,,,,
17,por tipos de establecimientos (a),,,,,,
18,,,,,,,Unidad
19,TIPO DE ESTABLECIMIENTO 2017,2018,2019,2020,2021,,2022
20,Total 110 915,114 395,106 563,86 891,53 492,,96 189
21,Hoteles 72 820,88 481,79 168,67 910,50 681,,92 849
22,3 Estrellas 7 179,8 190,7 605,6 627,1 333,,2 392
23,2 Estrellas 65 641,80 291,71 563,61 283,49 348,,90 457
24,Medios de alojamiento complementario 38 095,25 914,27 395,18 981,2 811,,3 340
25,De ellos: Bases de campismo 22 612,23 969,25 053,18 981,2 811,,3 340
